년도,대분류,중분류,소분류,건수
2023,학교중단,학교밖,비어있음,1914
2023,학교중단,학업중단 고민,비어있음,2316
2023,학교중단,기타_텍스트 입력,비어있음,159
2023,가정밖,가정밖,단순가출,821
2023,가정밖,가정밖,쉼터 등 시설입소,2127
2023,가정밖,가정밖,가출팸,31
2023,가정밖,가정밖,노숙,56
2023,가정밖,가정밖,비어있음,1
2023,가정밖,가출 고민,비어있음,707
2023,대인관계,고립 등 관계단절,고립,1055
2023,대인관계,고립 등 관계단절,관계단절,753
2023,대인관계,고립 등 관계단절,대인기피,486
2023,대인관계,고립 등 관계단절,은둔,173
2023,대인관계,또래관계,친구관계,20962
2023,대인관계,또래관계,선후배관계,754
2023,대인관계,이성관계_연인관계,비어있음,3245
2023,대인관계,교사관계_학교_학원_청소년기관 등,학교 교사,1149
2023,대인관계,교사관계_학교_학원_청소년기관 등,학원 및 기관 지도자,656
2023,대인관계,가족관계,부모-자녀관계,11922
2023,대인관계,가족관계,부부관계_부모 이혼_부모간 갈등 등,627
2023,대인관계,가족관계,형제관계,787
2023,대인관계,가족관계,친척,470
2023,대인관계,온라인상 관계,랜덤채팅 등 ,318
2023,대인관계,온라인상 관계,온라인 동호회,79
2023,대인관계,기타_텍스트 입력,비어있음,6701
2023,대인관계,비어있음,비어있음,1
2023,학업_진로,학업 및 학교생활 문제,학업_성적 스트레스,4213
2023,학업_진로,학업 및 학교생활 문제,학교 부적응,3735
2023,학업_진로,학업 및 학교생활 문제,학교적응 등 학교생활,3057
2023,학업_진로,진로_진학 문제,진로_진학 탐색 및 준비,3631
2023,학업_진로,진로_진학 문제,진로_진학 결정,1084
2023,학업_진로,취업 및 창업,취업 준비,757
2023,학업_진로,취업 및 창업,창업 준비,54
2023,학업_진로,기타_텍스트 입력,비어있음,1138
2023,과의존_중독,인터넷_스마트폰,게임,4548
2023,과의존_중독,인터넷_스마트폰,쇼핑,109
2023,과의존_중독,인터넷_스마트폰,SNS,1399
2023,과의존_중독,인터넷_스마트폰,영상 시청,1080
2023,과의존_중독,인터넷_스마트폰,비어있음,1
2023,과의존_중독,물질 사용_흡연_음주_약물 등,흡연,365
2023,과의존_중독,물질 사용_흡연_음주_약물 등,음주,213
2023,과의존_중독,물질 사용_흡연_음주_약물 등,환각성 물질,44
2023,과의존_중독,물질 사용_흡연_음주_약물 등,고카페인,3
2023,과의존_중독,도박,사이버 도박,473
2023,과의존_중독,도박,오프라인 도박,20
2023,과의존_중독,기타_텍스트 입력,비어있음,166
2023,정신건강,자살,자살사고_자살생각,2490
2023,정신건강,자살,자살시도,647
2023,정신건강,비자살적 자해,비어있음,2404
2023,정신건강,우울,우울_위축,18096
2023,정신건강,불안_강박,불안,7596
2023,정신건강,불안_강박,공포,175
2023,정신건강,불안_강박,공황,539
2023,정신건강,불안_강박,강박,1593
2023,정신건강,품행 및 공격행동,품행,954
2023,정신건강,품행 및 공격행동,반항,313
2023,정신건강,품행 및 공격행동,공격행동,1105
2023,정신건강,품행 및 공격행동,분노조절,1288
2023,정신건강,외상 후 스트레스,비어있음,921
2023,정신건강,사고 문제,정신증,1827
2023,정신건강,사고 문제,편집증,515
2023,정신건강,사고 문제,망상,605
2023,정신건강,신체화문제,신체화 증상_건강염려,357
2023,정신건강,신체화문제,섭식_폭식_식욕 부진 등,156
2023,정신건강,발달문제,지적 발달_경계선 지능 등,2048
2023,정신건강,발달문제,ADHD_주의력결핍_과잉행동,860
2023,정신건강,발달문제,자폐스펙트럼,83
2023,정신건강,발달문제,틱장애,88
2023,정신건강,부적응적 성격문제,편집적_과민한 성격,1450
2023,정신건강,부적응적 성격문제,충동적_공격적 성격,844
2023,정신건강,부적응적 성격문제,완벽성향_경직된 성격,463
2023,정신건강,부적응적 성격문제,낮은 자존감,3372
2023,정신건강,부적응적 성격문제,자아정체감 혼란,170
2023,정신건강,부적응적 성격문제,성격 불만족,232
2023,정신건강,기타_텍스트 입력,비어있음,13256
2023,폭력피해,가정폭력,신체적 폭력,544
2023,폭력피해,가정폭력,정서적 폭력,353
2023,폭력피해,가정폭력,경제적 위협,19
2023,폭력피해,아동학대 및 방임,신체적 학대,241
2023,폭력피해,아동학대 및 방임,정서적 학대,155
2023,폭력피해,아동학대 및 방임,성적 학대,10
2023,폭력피해,아동학대 및 방임,방임,77
2023,폭력피해,청소년폭력,신체폭력_폭행_상해_감금_유인 등,779
2023,폭력피해,청소년폭력,언어폭력_명예훼손_모욕_협박 등,1076
2023,폭력피해,청소년폭력,"강요_숙제 및 게임 대행, 빵셔틀 등",41
2023,폭력피해,청소년폭력,금품갈취_공갈_사기_갈취 등,65
2023,폭력피해,청소년폭력,따돌림,766
2023,폭력피해,청소년폭력,사이버폭력,149
2023,폭력피해,청소년폭력,스토킹,8
2023,폭력피해,성폭력,성폭행,151
2023,폭력피해,성폭력,성추행,180
2023,폭력피해,성폭력,성희롱,54
2023,폭력피해,성폭력,디지털성폭력,115
2023,폭력피해,,비어있음,343
2023,폭력가해_비행,가정폭력,신체적 폭력,116
2023,폭력가해_비행,가정폭력,정서적 폭력,47
2023,폭력가해_비행,가정폭력,경제적 위협,2
2023,폭력가해_비행,청소년폭력,신체폭력_폭행_상해_감금_유인 등,1292
2023,폭력가해_비행,청소년폭력,언어폭력_명예훼손_모욕_협박 등,700
2023,폭력가해_비행,청소년폭력,강요_숙제및게임대행_빵셔틀 등,37
2023,폭력가해_비행,청소년폭력,금품갈취_절도_사기_갈취 등,298
2023,폭력가해_비행,청소년폭력,따돌림,87
2023,폭력가해_비행,청소년폭력,사이버폭력,110
2023,폭력가해_비행,청소년폭력,스토킹,5
2023,폭력가해_비행,성폭력,성폭행,30
2023,폭력가해_비행,성폭력,성추행,76
2023,폭력가해_비행,성폭력,성희롱,44
2023,폭력가해_비행,성폭력,디지털성폭력,91
2023,폭력가해_비행,비행,성인사이트 접속 및 시청,30
2023,폭력가해_비행,비행,교칙위반,1099
2023,폭력가해_비행,비행,비행친구와 어울림,1769
2023,폭력가해_비행,비행,환각물질 사용_단기,18
2023,폭력가해_비행,기타_텍스트 입력,비어있음,1324
2023,성,성건강 및 성교육,성병,17
2023,성,성건강 및 성교육,성교육_보호자 대상,201
2023,성,성건강 및 성교육,성지식 부족_청소년 대상,565
2023,성,성매매,자발적,81
2023,성,성매매,강요,19
2023,성,성적충동_성욕구,자위행동,729
2023,성,성적충동_성욕구,성관계,186
2023,성,성적충동_성욕구,이상성행동,523
2023,성,임신_출산_낙태,비어있음,165
2023,성,성정체성,비어있음,232
2023,성,성역할 갈등,비어있음,35
2023,성,기타_텍스트 입력,비어있음,675
2023,노동_근로,임금체불,급여 미지급,43
2023,노동_근로,임금체불,수당 미지급,6
2023,노동_근로,임금체불,최저임금 위반,4
2023,노동_근로,직장 내 괴롭힘_성희롱,부당 업무지시,13
2023,노동_근로,직장 내 괴롭힘_성희롱,성희롱_성폭력,14
2023,노동_근로,직장 내 괴롭힘_성희롱,폭언폭행,14
2023,노동_근로,노동_근로 관련 서류미비 ,근로계약서 미작성_미교부,15
2023,노동_근로,부당근로 행위,부당해고,21
2023,노동_근로,부당근로 행위,근로시간 미준수,18
2023,노동_근로,부당근로 행위,휴게시간_휴가 미지급,5
2023,노동_근로,부당근로 행위,부당 근로계약,15
2023,노동_근로,청소년보호법 위반,청소년 고용금지업소 근로,12
2023,노동_근로,청소년보호법 위반,청소년 근로연령 위반,8
2023,노동_근로,노동·근로 정보부족,비어있음,226
2023,노동_근로,기타_텍스트 입력,비어있음,591
2023,결핍_빈곤,경제적 결핍,결식이나 영양 결핍,278
2023,결핍_빈곤,경제적 결핍,옷_신발 등 결핍,146
2023,결핍_빈곤,경제적 결핍,위생용품 결핍_생리대_마스크_소독제 등,10
2023,결핍_빈곤,경제적 결핍,의료 미충족_의료 결핍,58
2023,결핍_빈곤,경제적 결핍,여가문화생활 결핍,125
2023,결핍_빈곤,경제적 결핍,교육적 결핍,207
2023,결핍_빈곤,경제적 결핍,본인 채무_빚,81
2023,결핍_빈곤,경제적 결핍,부채상속 등 가족채무_빚,40
2023,결핍_빈곤,주거 빈곤 및 불안정,과밀주거_최저주거기준 미달가구 등,33
2023,결핍_빈곤,주거 빈곤 및 불안정,"불안정 주거_고시원, 반지하 등",107
2023,결핍_빈곤,기타_텍스트 입력,비어있음,269
2023,결핍_빈곤,가족돌봄,비어있음,234
2023,신체건강_인식,신체 인식_외모 고민,키_몸무게 등 성장 관련,223
2023,신체건강_인식,신체 인식_외모 고민,외모 차별 및 불만족 관련,444
2023,신체건강_인식,장애 및 만성질환,신체 장애,72
2023,신체건강_인식,장애 및 만성질환,신체 질환_만성 질환,126
2023,신체건강_인식,건강관련 행동,운동 부족,33
2023,신체건강_인식,건강관련 행동,정기적 운동 지식_건강 증진,86
2023,신체건강_인식,건강관련 행동,수면,97
2023,신체건강_인식,기타_텍스트 입력,비어있음,243
2023,이주배경,한국어 미숙,비어있음,76
2023,이주배경,체류_법률,비어있음,20
2023,이주배경,정보부족,비어있음,77
2023,이주배경,기타_텍스트 입력,비어있음,115
2023,비어있음,비어있음,비어있음,8979
2024,학교중단,학교밖,비어있음,2985
2024,학교중단,학업중단 고민,비어있음,2821
2024,학교중단,기타_텍스트 입력,비어있음,252
2024,가정밖,가정밖,단순가출,1651
2024,가정밖,가정밖,쉼터 등 시설입소,2442
2024,가정밖,가정밖,가출팸,122
2024,가정밖,가정밖,노숙,70
2024,가정밖,가출 고민,비어있음,772
2024,대인관계,고립 등 관계단절,고립,1968
2024,대인관계,고립 등 관계단절,관계단절,766
2024,대인관계,고립 등 관계단절,대인기피,551
2024,대인관계,고립 등 관계단절,은둔,289
2024,대인관계,또래관계,친구관계,32247
2024,대인관계,또래관계,선후배관계,971
2024,대인관계,이성관계_연인관계,비어있음,3951
2024,대인관계,교사관계_학교_학원_청소년기관 등,학교 교사,1316
2024,대인관계,교사관계_학교_학원_청소년기관 등,학원 및 기관 지도자,784
2024,대인관계,가족관계,부모_자녀관계,15205
2024,대인관계,가족관계,부부관계_부모 이혼_부모간 갈등 등,779
2024,대인관계,가족관계,형제관계,1130
2024,대인관계,가족관계,친척,571
2024,대인관계,온라인상 관계,랜덤채팅 등 ,349
2024,대인관계,온라인상 관계,온라인 동호회,77
2024,대인관계,기타_텍스트 입력,비어있음,3646
2024,학업_진로,학업 및 학교생활 문제,학업_성적 스트레스,5028
2024,학업_진로,학업 및 학교생활 문제,학교 부적응,4101
2024,학업_진로,학업 및 학교생활 문제,학교적응 등 학교생활,3577
2024,학업_진로,진로_진학 문제,진로_진학 탐색 및 준비,5245
2024,학업_진로,진로_진학 문제,진로_진학 결정,1227
2024,학업_진로,취업 및 창업,취업 준비,1009
2024,학업_진로,취업 및 창업,창업 준비,75
2024,학업_진로,기타_텍스트 입력,비어있음,1055
2024,과의존_중독,인터넷_스마트폰,게임,5601
2024,과의존_중독,인터넷_스마트폰,쇼핑,131
2024,과의존_중독,인터넷_스마트폰,SNS,1279
2024,과의존_중독,인터넷_스마트폰,영상 시청,1224
2024,과의존_중독,물질 사용_흡연_음주_약물 등,흡연,750
2024,과의존_중독,물질 사용_흡연_음주_약물 등,음주,214
2024,과의존_중독,물질 사용_흡연_음주_약물 등,환각성 물질,30
2024,과의존_중독,물질 사용_흡연_음주_약물 등,고카페인,33
2024,과의존_중독,도박,사이버 도박,910
2024,과의존_중독,도박,오프라인 도박,42
2024,과의존_중독,기타_텍스트 입력,비어있음,235
2024,정신건강,자살,자살사고_자살생각,3143
2024,정신건강,자살,자살시도,914
2024,정신건강,비자살적 자해,비어있음,3494
2024,정신건강,우울,우울_위축,21892
2024,정신건강,불안_강박,불안,10747
2024,정신건강,불안/강박,공포,186
2024,정신건강,불안/강박,공황,686
2024,정신건강,불안/강박,강박,1502
2024,정신건강,품행 및 공격행동,품행,987
2024,정신건강,품행 및 공격행동,반항,385
2024,정신건강,품행 및 공격행동,공격행동,951
2024,정신건강,품행 및 공격행동,분노조절,1505
2024,정신건강,외상 후 스트레스,비어있음,1140
2024,정신건강,사고 문제,정신증,2295
2024,정신건강,사고 문제,편집증,440
2024,정신건강,사고 문제,망상,802
2024,정신건강,신체화문제,신체화 증상_건강염려,445
2024,정신건강,신체화문제,섭식_폭식_식욕 부진 등,131
2024,정신건강,발달문제,지적 발달_경계선 지능 등,3076
2024,정신건강,발달문제,ADHD_주의력결핍_과잉행동,1304
2024,정신건강,발달문제,자폐스펙트럼,531
2024,정신건강,발달문제,틱장애,124
2024,정신건강,부적응적 성격문제,편집적_과민한 성격,1769
2024,정신건강,부적응적 성격문제,충동적_공격적 성격,1099
2024,정신건강,부적응적 성격문제,완벽성향_경직된 성격,382
2024,정신건강,부적응적 성격문제,낮은 자존감,6230
2024,정신건강,부적응적 성격문제,자아정체감 혼란,298
2024,정신건강,부적응적 성격문제,성격 불만족,453
2024,정신건강,기타_텍스트 입력,비어있음,16283
2024,폭력피해,가정폭력,신체적 폭력,845
2024,폭력피해,가정폭력,정서적 폭력,411
2024,폭력피해,가정폭력,경제적 위협,27
2024,폭력피해,아동학대 및 방임,신체적 학대,316
2024,폭력피해,아동학대 및 방임,정서적 학대,252
2024,폭력피해,아동학대 및 방임,성적 학대,12
2024,폭력피해,아동학대 및 방임,방임,108
2024,폭력피해,청소년폭력,신체폭력_폭행_상해_감금_유인 등,1137
2024,폭력피해,청소년폭력,언어폭력_명예훼손_모욕_협박 등,1358
2024,폭력피해,청소년폭력,강요_숙제 및 게임 대행_빵셔틀 등,62
2024,폭력피해,청소년폭력,금품갈취_공갈_사기_갈취 등,115
2024,폭력피해,청소년폭력,따돌림,1006
2024,폭력피해,청소년폭력,사이버폭력,279
2024,폭력피해,청소년폭력,스토킹,9
2024,폭력피해,성폭력,성폭행,267
2024,폭력피해,성폭력,성추행,267
2024,폭력피해,성폭력,성희롱,68
2024,폭력피해,성폭력,디지털성폭력,172
2024,폭력피해,기타_텍스트 입력,비어있음,487
2024,폭력가해_비행,가정폭력,신체적 폭력,169
2024,폭력가해_비행,가정폭력,정서적 폭력,40
2024,폭력가해_비행,가정폭력,경제적 위협,1
2024,폭력가해_비행,청소년폭력,신체폭력_폭행_상해_감금_유인 등,1391
2024,폭력가해_비행,청소년폭력,언어폭력_명예훼손_모욕_협박 등,728
2024,폭력가해_비행,청소년폭력,강요_숙제및게임대행_빵셔틀 등,44
2024,폭력가해_비행,청소년폭력,금품갈취_절도_사기_갈취 등,311
2024,폭력가해_비행,청소년폭력,따돌림,106
2024,폭력가해_비행,청소년폭력,사이버폭력,105
2024,폭력가해_비행,청소년폭력,스토킹,3
2024,폭력가해_비행,성폭력,성폭행,35
2024,폭력가해_비행,성폭력,성추행,106
2024,폭력가해_비행,성폭력,성희롱,55
2024,폭력가해_비행,성폭력,디지털성폭력,145
2024,폭력가해_비행,비행,성인사이트 접속 및 시청,27
2024,폭력가해_비행,비행,교칙위반,944
2024,폭력가해_비행,비행,비행친구와 어울림,1952
2024,폭력가해_비행,비행,환각물질 사용_단기,13
2024,폭력가해_비행,기타_텍스트 입력,비어있음,1512
2024,성,성건강 및 성교육,성병,32
2024,성,성건강 및 성교육,성교육_보호자 대상,186
